group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push,fll-noalloc-back,,,,360114.0,ns,6443
push,fll-noalloc-back,,,,696238.0,ns,12886
push,fll-noalloc-back,,,,1051877.0,ns,19329
push,fll-noalloc-back,,,,1399943.0,ns,25772
push,fll-noalloc-back,,,,1742468.0,ns,32215
push,fll-noalloc-back,,,,2103499.0,ns,38658
push,fll-noalloc-back,,,,2458670.0,ns,45101
push,fll-noalloc-back,,,,2814523.0,ns,51544
push,fll-noalloc-back,,,,3136408.0,ns,57987
push,fll-noalloc-back,,,,3505062.0,ns,64430
push,fll-noalloc-back,,,,3842760.0,ns,70873
push,fll-noalloc-back,,,,4190893.0,ns,77316
push,fll-noalloc-back,,,,4537965.0,ns,83759
push,fll-noalloc-back,,,,4883700.0,ns,90202
push,fll-noalloc-back,,,,5262170.0,ns,96645
push,fll-noalloc-back,,,,5596810.0,ns,103088
push,fll-noalloc-back,,,,5942204.0,ns,109531
push,fll-noalloc-back,,,,6293214.0,ns,115974
push,fll-noalloc-back,,,,6671153.0,ns,122417
push,fll-noalloc-back,,,,7030690.0,ns,128860
push,fll-noalloc-back,,,,7359477.0,ns,135303
push,fll-noalloc-back,,,,7700183.0,ns,141746
push,fll-noalloc-back,,,,8066836.0,ns,148189
push,fll-noalloc-back,,,,8398905.0,ns,154632
push,fll-noalloc-back,,,,8779838.0,ns,161075
push,fll-noalloc-back,,,,9102412.0,ns,167518
push,fll-noalloc-back,,,,9437163.0,ns,173961
push,fll-noalloc-back,,,,9843162.0,ns,180404
push,fll-noalloc-back,,,,10117983.0,ns,186847
push,fll-noalloc-back,,,,10528959.0,ns,193290
push,fll-noalloc-back,,,,10832633.0,ns,199733
push,fll-noalloc-back,,,,11207340.0,ns,206176
push,fll-noalloc-back,,,,11551738.0,ns,212619
push,fll-noalloc-back,,,,11887735.0,ns,219062
push,fll-noalloc-back,,,,12265569.0,ns,225505
push,fll-noalloc-back,,,,12603338.0,ns,231948
push,fll-noalloc-back,,,,12954800.0,ns,238391
push,fll-noalloc-back,,,,13329013.0,ns,244834
push,fll-noalloc-back,,,,13636057.0,ns,251277
push,fll-noalloc-back,,,,14003413.0,ns,257720
push,fll-noalloc-back,,,,14331571.0,ns,264163
push,fll-noalloc-back,,,,14696170.0,ns,270606
push,fll-noalloc-back,,,,15044368.0,ns,277049
push,fll-noalloc-back,,,,15373953.0,ns,283492
push,fll-noalloc-back,,,,15733309.0,ns,289935
push,fll-noalloc-back,,,,16112552.0,ns,296378
push,fll-noalloc-back,,,,16444888.0,ns,302821
push,fll-noalloc-back,,,,16769004.0,ns,309264
push,fll-noalloc-back,,,,17157208.0,ns,315707
push,fll-noalloc-back,,,,17463448.0,ns,322150
push,fll-noalloc-back,,,,17840807.0,ns,328593
push,fll-noalloc-back,,,,18164843.0,ns,335036
push,fll-noalloc-back,,,,18547703.0,ns,341479
push,fll-noalloc-back,,,,18873914.0,ns,347922
push,fll-noalloc-back,,,,19228159.0,ns,354365
push,fll-noalloc-back,,,,19558892.0,ns,360808
push,fll-noalloc-back,,,,19847302.0,ns,367251
push,fll-noalloc-back,,,,20220448.0,ns,373694
push,fll-noalloc-back,,,,20545865.0,ns,380137
push,fll-noalloc-back,,,,20881279.0,ns,386580
push,fll-noalloc-back,,,,21335969.0,ns,393023
push,fll-noalloc-back,,,,21616577.0,ns,399466
push,fll-noalloc-back,,,,22008296.0,ns,405909
push,fll-noalloc-back,,,,22371980.0,ns,412352
push,fll-noalloc-back,,,,22698011.0,ns,418795
push,fll-noalloc-back,,,,23041211.0,ns,425238
push,fll-noalloc-back,,,,23408415.0,ns,431681
push,fll-noalloc-back,,,,23774168.0,ns,438124
push,fll-noalloc-back,,,,24100757.0,ns,444567
push,fll-noalloc-back,,,,24425702.0,ns,451010
push,fll-noalloc-back,,,,24772025.0,ns,457453
push,fll-noalloc-back,,,,25153934.0,ns,463896
push,fll-noalloc-back,,,,25540794.0,ns,470339
push,fll-noalloc-back,,,,25796823.0,ns,476782
push,fll-noalloc-back,,,,26115540.0,ns,483225
push,fll-noalloc-back,,,,26626312.0,ns,489668
push,fll-noalloc-back,,,,26887649.0,ns,496111
push,fll-noalloc-back,,,,27212891.0,ns,502554
push,fll-noalloc-back,,,,27582879.0,ns,508997
push,fll-noalloc-back,,,,27913514.0,ns,515440
push,fll-noalloc-back,,,,28226246.0,ns,521883
push,fll-noalloc-back,,,,28628747.0,ns,528326
push,fll-noalloc-back,,,,29031519.0,ns,534769
push,fll-noalloc-back,,,,29277737.0,ns,541212
push,fll-noalloc-back,,,,29658101.0,ns,547655
push,fll-noalloc-back,,,,29973327.0,ns,554098
push,fll-noalloc-back,,,,30364004.0,ns,560541
push,fll-noalloc-back,,,,30705932.0,ns,566984
push,fll-noalloc-back,,,,31002699.0,ns,573427
push,fll-noalloc-back,,,,31458796.0,ns,579870
push,fll-noalloc-back,,,,31758058.0,ns,586313
push,fll-noalloc-back,,,,32070080.0,ns,592756
push,fll-noalloc-back,,,,32450177.0,ns,599199
push,fll-noalloc-back,,,,32782227.0,ns,605642
push,fll-noalloc-back,,,,33151556.0,ns,612085
push,fll-noalloc-back,,,,33500329.0,ns,618528
push,fll-noalloc-back,,,,33788123.0,ns,624971
push,fll-noalloc-back,,,,34182064.0,ns,631414
push,fll-noalloc-back,,,,34552505.0,ns,637857
push,fll-noalloc-back,,,,34907322.0,ns,644300
