group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push,fll-noalloc-back,,,,208787.0,ns,7483
push,fll-noalloc-back,,,,422078.0,ns,14966
push,fll-noalloc-back,,,,625538.0,ns,22449
push,fll-noalloc-back,,,,804414.0,ns,29932
push,fll-noalloc-back,,,,1005247.0,ns,37415
push,fll-noalloc-back,,,,1182496.0,ns,44898
push,fll-noalloc-back,,,,1407081.0,ns,52381
push,fll-noalloc-back,,,,1577997.0,ns,59864
push,fll-noalloc-back,,,,1780747.0,ns,67347
push,fll-noalloc-back,,,,2032205.0,ns,74830
push,fll-noalloc-back,,,,2172537.0,ns,82313
push,fll-noalloc-back,,,,2377039.0,ns,89796
push,fll-noalloc-back,,,,2629331.0,ns,97279
push,fll-noalloc-back,,,,2814996.0,ns,104762
push,fll-noalloc-back,,,,3025496.0,ns,112245
push,fll-noalloc-back,,,,3245912.0,ns,119728
push,fll-noalloc-back,,,,3449371.0,ns,127211
push,fll-noalloc-back,,,,3692497.0,ns,134694
push,fll-noalloc-back,,,,3887913.0,ns,142177
push,fll-noalloc-back,,,,4112039.0,ns,149660
push,fll-noalloc-back,,,,4285163.0,ns,157143
push,fll-noalloc-back,,,,4473289.0,ns,164626
push,fll-noalloc-back,,,,4705372.0,ns,172109
push,fll-noalloc-back,,,,5087871.0,ns,179592
push,fll-noalloc-back,,,,5147746.0,ns,187075
push,fll-noalloc-back,,,,5353621.0,ns,194558
push,fll-noalloc-back,,,,5787622.0,ns,202041
push,fll-noalloc-back,,,,5951621.0,ns,209524
push,fll-noalloc-back,,,,6374415.0,ns,217007
push,fll-noalloc-back,,,,6625956.0,ns,224490
push,fll-noalloc-back,,,,6874871.0,ns,231973
push,fll-noalloc-back,,,,7062913.0,ns,239456
push,fll-noalloc-back,,,,7304080.0,ns,246939
push,fll-noalloc-back,,,,7571289.0,ns,254422
push,fll-noalloc-back,,,,7769999.0,ns,261905
push,fll-noalloc-back,,,,8069789.0,ns,269388
push,fll-noalloc-back,,,,8377954.0,ns,276871
push,fll-noalloc-back,,,,8469204.0,ns,284354
push,fll-noalloc-back,,,,8604830.0,ns,291837
push,fll-noalloc-back,,,,8801956.0,ns,299320
push,fll-noalloc-back,,,,9276080.0,ns,306803
push,fll-noalloc-back,,,,9337164.0,ns,314286
push,fll-noalloc-back,,,,9411454.0,ns,321769
push,fll-noalloc-back,,,,9700039.0,ns,329252
push,fll-noalloc-back,,,,9779497.0,ns,336735
push,fll-noalloc-back,,,,9814163.0,ns,344218
push,fll-noalloc-back,,,,10120706.0,ns,351701
push,fll-noalloc-back,,,,10597997.0,ns,359184
push,fll-noalloc-back,,,,10791497.0,ns,366667
push,fll-noalloc-back,,,,11029414.0,ns,374150
push,fll-noalloc-back,,,,11521539.0,ns,381633
push,fll-noalloc-back,,,,11670830.0,ns,389116
push,fll-noalloc-back,,,,12139245.0,ns,396599
push,fll-noalloc-back,,,,12365371.0,ns,404082
push,fll-noalloc-back,,,,12870121.0,ns,411565
push,fll-noalloc-back,,,,12746164.0,ns,419048
push,fll-noalloc-back,,,,12269330.0,ns,426531
push,fll-noalloc-back,,,,12361453.0,ns,434014
push,fll-noalloc-back,,,,12776081.0,ns,441497
push,fll-noalloc-back,,,,12998998.0,ns,448980
push,fll-noalloc-back,,,,13457122.0,ns,456463
push,fll-noalloc-back,,,,13607414.0,ns,463946
push,fll-noalloc-back,,,,13692288.0,ns,471429
push,fll-noalloc-back,,,,14148496.0,ns,478912
push,fll-noalloc-back,,,,14674748.0,ns,486395
push,fll-noalloc-back,,,,14162914.0,ns,493878
push,fll-noalloc-back,,,,14422163.0,ns,501361
push,fll-noalloc-back,,,,14800956.0,ns,508844
push,fll-noalloc-back,,,,15448290.0,ns,516327
push,fll-noalloc-back,,,,15791663.0,ns,523810
push,fll-noalloc-back,,,,16360038.0,ns,531293
push,fll-noalloc-back,,,,16075121.0,ns,538776
push,fll-noalloc-back,,,,16787580.0,ns,546259
push,fll-noalloc-back,,,,16900163.0,ns,553742
push,fll-noalloc-back,,,,17220621.0,ns,561225
push,fll-noalloc-back,,,,17075956.0,ns,568708
push,fll-noalloc-back,,,,17782372.0,ns,576191
push,fll-noalloc-back,,,,17618163.0,ns,583674
push,fll-noalloc-back,,,,18091788.0,ns,591157
push,fll-noalloc-back,,,,18214912.0,ns,598640
push,fll-noalloc-back,,,,17851745.0,ns,606123
push,fll-noalloc-back,,,,17870121.0,ns,613606
push,fll-noalloc-back,,,,18351248.0,ns,621089
push,fll-noalloc-back,,,,18693746.0,ns,628572
push,fll-noalloc-back,,,,19020414.0,ns,636055
push,fll-noalloc-back,,,,19495246.0,ns,643538
push,fll-noalloc-back,,,,19530539.0,ns,651021
push,fll-noalloc-back,,,,19731373.0,ns,658504
push,fll-noalloc-back,,,,19703453.0,ns,665987
push,fll-noalloc-back,,,,20555538.0,ns,673470
push,fll-noalloc-back,,,,20391830.0,ns,680953
push,fll-noalloc-back,,,,20667705.0,ns,688436
push,fll-noalloc-back,,,,21189497.0,ns,695919
push,fll-noalloc-back,,,,21605913.0,ns,703402
push,fll-noalloc-back,,,,21296955.0,ns,710885
push,fll-noalloc-back,,,,22149538.0,ns,718368
push,fll-noalloc-back,,,,21831705.0,ns,725851
push,fll-noalloc-back,,,,21814288.0,ns,733334
push,fll-noalloc-back,,,,22194747.0,ns,740817
push,fll-noalloc-back,,,,22382706.0,ns,748300
