group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push,fll-noalloc-back,,,,489787.0,ns,7508
push,fll-noalloc-back,,,,416997.0,ns,15016
push,fll-noalloc-back,,,,621454.0,ns,22524
push,fll-noalloc-back,,,,802248.0,ns,30032
push,fll-noalloc-back,,,,994290.0,ns,37540
push,fll-noalloc-back,,,,1203454.0,ns,45048
push,fll-noalloc-back,,,,1406080.0,ns,52556
push,fll-noalloc-back,,,,1595790.0,ns,60064
push,fll-noalloc-back,,,,1795246.0,ns,67572
push,fll-noalloc-back,,,,1997287.0,ns,75080
push,fll-noalloc-back,,,,2227996.0,ns,82588
push,fll-noalloc-back,,,,2394455.0,ns,90096
push,fll-noalloc-back,,,,2597706.0,ns,97604
push,fll-noalloc-back,,,,2790413.0,ns,105112
push,fll-noalloc-back,,,,3062747.0,ns,112620
push,fll-noalloc-back,,,,3272664.0,ns,120128
push,fll-noalloc-back,,,,3499290.0,ns,127636
push,fll-noalloc-back,,,,3697746.0,ns,135144
push,fll-noalloc-back,,,,3876999.0,ns,142652
push,fll-noalloc-back,,,,4092204.0,ns,150160
push,fll-noalloc-back,,,,4293411.0,ns,157668
push,fll-noalloc-back,,,,4531121.0,ns,165176
push,fll-noalloc-back,,,,4800912.0,ns,172684
push,fll-noalloc-back,,,,5030413.0,ns,180192
push,fll-noalloc-back,,,,5152206.0,ns,187700
push,fll-noalloc-back,,,,5477913.0,ns,195208
push,fll-noalloc-back,,,,5659455.0,ns,202716
push,fll-noalloc-back,,,,5779497.0,ns,210224
push,fll-noalloc-back,,,,6483289.0,ns,217732
push,fll-noalloc-back,,,,6688498.0,ns,225240
push,fll-noalloc-back,,,,6943205.0,ns,232748
push,fll-noalloc-back,,,,7129039.0,ns,240256
push,fll-noalloc-back,,,,7370871.0,ns,247764
push,fll-noalloc-back,,,,7592121.0,ns,255272
push,fll-noalloc-back,,,,7822705.0,ns,262780
push,fll-noalloc-back,,,,8084747.0,ns,270288
push,fll-noalloc-back,,,,8273788.0,ns,277796
push,fll-noalloc-back,,,,8536455.0,ns,285304
push,fll-noalloc-back,,,,9133122.0,ns,292812
push,fll-noalloc-back,,,,9184247.0,ns,300320
push,fll-noalloc-back,,,,9381415.0,ns,307828
push,fll-noalloc-back,,,,9703162.0,ns,315336
push,fll-noalloc-back,,,,9639123.0,ns,322844
push,fll-noalloc-back,,,,9530372.0,ns,330352
push,fll-noalloc-back,,,,9741831.0,ns,337860
push,fll-noalloc-back,,,,10127746.0,ns,345368
push,fll-noalloc-back,,,,10537788.0,ns,352876
push,fll-noalloc-back,,,,10746288.0,ns,360384
push,fll-noalloc-back,,,,11178371.0,ns,367892
push,fll-noalloc-back,,,,11392079.0,ns,375400
push,fll-noalloc-back,,,,11441455.0,ns,382908
push,fll-noalloc-back,,,,11665454.0,ns,390416
push,fll-noalloc-back,,,,11942956.0,ns,397924
push,fll-noalloc-back,,,,12534164.0,ns,405432
push,fll-noalloc-back,,,,12682955.0,ns,412940
push,fll-noalloc-back,,,,12772705.0,ns,420448
push,fll-noalloc-back,,,,13340787.0,ns,427956
push,fll-noalloc-back,,,,13523204.0,ns,435464
push,fll-noalloc-back,,,,13812830.0,ns,442972
push,fll-noalloc-back,,,,13627163.0,ns,450480
push,fll-noalloc-back,,,,13974829.0,ns,457988
push,fll-noalloc-back,,,,14207955.0,ns,465496
push,fll-noalloc-back,,,,14730290.0,ns,473004
push,fll-noalloc-back,,,,14361163.0,ns,480512
push,fll-noalloc-back,,,,14771539.0,ns,488020
push,fll-noalloc-back,,,,14936621.0,ns,495528
push,fll-noalloc-back,,,,14990247.0,ns,503036
push,fll-noalloc-back,,,,15001997.0,ns,510544
push,fll-noalloc-back,,,,16034204.0,ns,518052
push,fll-noalloc-back,,,,15798121.0,ns,525560
push,fll-noalloc-back,,,,15789122.0,ns,533068
push,fll-noalloc-back,,,,16118123.0,ns,540576
push,fll-noalloc-back,,,,16408331.0,ns,548084
push,fll-noalloc-back,,,,17137621.0,ns,555592
push,fll-noalloc-back,,,,17271580.0,ns,563100
push,fll-noalloc-back,,,,17862498.0,ns,570608
push,fll-noalloc-back,,,,18240580.0,ns,578116
push,fll-noalloc-back,,,,17070747.0,ns,585624
push,fll-noalloc-back,,,,17272663.0,ns,593132
push,fll-noalloc-back,,,,17840539.0,ns,600640
push,fll-noalloc-back,,,,18281331.0,ns,608148
push,fll-noalloc-back,,,,18704997.0,ns,615656
push,fll-noalloc-back,,,,18841246.0,ns,623164
push,fll-noalloc-back,,,,19294747.0,ns,630672
push,fll-noalloc-back,,,,18818873.0,ns,638180
push,fll-noalloc-back,,,,19577621.0,ns,645688
push,fll-noalloc-back,,,,19871954.0,ns,653196
push,fll-noalloc-back,,,,19410164.0,ns,660704
push,fll-noalloc-back,,,,19585079.0,ns,668212
push,fll-noalloc-back,,,,19864414.0,ns,675720
push,fll-noalloc-back,,,,20541330.0,ns,683228
push,fll-noalloc-back,,,,20888997.0,ns,690736
push,fll-noalloc-back,,,,20805247.0,ns,698244
push,fll-noalloc-back,,,,21152831.0,ns,705752
push,fll-noalloc-back,,,,21710912.0,ns,713260
push,fll-noalloc-back,,,,21558289.0,ns,720768
push,fll-noalloc-back,,,,21845831.0,ns,728276
push,fll-noalloc-back,,,,22362747.0,ns,735784
push,fll-noalloc-back,,,,22363580.0,ns,743292
push,fll-noalloc-back,,,,22573121.0,ns,750800
